Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Risk Assessment using the Excel File,SCRUM-60,10094,Task,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,04/Aug/25 10:29 AM,19/Aug/25 8:10 AM,09/Aug/25 3:27 PM,,,0,"Import the risk assessment Excel file into the project documentation. Analyze the identified risks by evaluating their probability and impact, then prioritize them accordingly. Assign appropriate mitigation and contingency plans to each risk and update the risk log as the project evolves. Attach the Excel file for reference and include a summary of the risk register in the final project report. Ensure the risk analysis aligns with the module's risk assessment guidelines and quality goals.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000cf:,SCRUM Sprint 2,,1.0,,,,,,To Do,04/Aug/25 10:29 AM
Rehearse and deliver final presentation,SCRUM-58,10060,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:43 PM,09/Aug/25 3:49 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000bz:,SCRUM Sprint 4,,1.0,,,10042,SCRUM-40,Prepare demo & final report,To Do,27/Jul/25 3:43 PM
"Compile final report with code, requirements, risks, tests, and results",SCRUM-57,10059,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:43 PM,09/Aug/25 3:49 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000br:,SCRUM Sprint 4,,2.0,,,10042,SCRUM-40,Prepare demo & final report,To Do,27/Jul/25 3:43 PM
Draft demo script and prepare presentation slides,SCRUM-56,10058,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:43 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000bj:,SCRUM Sprint 4,,1.0,,,10042,SCRUM-40,Prepare demo & final report,To Do,27/Jul/25 3:43 PM
Follow-up on action items and update process,SCRUM-55,10057,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:42 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000bb:,SCRUM Sprint 3,,1.0,,,10041,SCRUM-39,Conduct sprint reviews & retrospectives,To Do,27/Jul/25 3:42 PM
Conduct retrospective to identify improvements and action items,SCRUM-54,10056,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:42 PM,09/Aug/25 3:49 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000b3:,SCRUM Sprint 3,,1.0,,,10041,SCRUM-39,Conduct sprint reviews & retrospectives,To Do,27/Jul/25 3:42 PM
Gather feedback and demonstrate completed work to stakeholders,SCRUM-53,10055,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:41 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000av:,SCRUM Sprint 3,,2.0,,,10041,SCRUM-39,Conduct sprint reviews & retrospectives,To Do,27/Jul/25 3:41 PM
Schedule and conduct sprint review meetings with stakeholders,SCRUM-52,10054,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:41 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000an:,SCRUM Sprint 3,,1.0,,,10041,SCRUM-39,Conduct sprint reviews & retrospectives,To Do,27/Jul/25 3:41 PM
Document testing strategy and guidelines,SCRUM-51,10053,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:40 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000af:,SCRUM Sprint 2,,1.0,,,10040,SCRUM-38,Define testing strategy,To Do,27/Jul/25 3:40 PM
Establish test environment and set coverage threshold (>=80%),SCRUM-50,10052,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:40 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i000a7:,SCRUM Sprint 2,,1.0,,,10040,SCRUM-38,Define testing strategy,To Do,27/Jul/25 3:40 PM
"Define unit, integration, end-to-end and performance test scope",SCRUM-49,10051,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:40 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0009z:,SCRUM Sprint 2,,1.0,,,10040,SCRUM-38,Define testing strategy,To Do,27/Jul/25 3:40 PM
"Research and select testing frameworks (pytest, React Testing Library)",SCRUM-48,10050,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:39 PM,09/Aug/25 3:48 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0009r:,SCRUM Sprint 2,,1.0,,,10040,SCRUM-38,Define testing strategy,To Do,27/Jul/25 3:39 PM
Document stand-up process and meeting cadence,SCRUM-47,10049,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:39 PM,09/Aug/25 3:49 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0009j:,SCRUM Sprint 2,,1.0,,,10039,SCRUM-37,Plan sprints & stand-ups,To Do,27/Jul/25 3:39 PM
Schedule and coordinate daily stand-ups,SCRUM-46,10048,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:38 PM,27/Jul/25 3:38 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0009b:,SCRUM Sprint 2,,,,,10039,SCRUM-37,Plan sprints & stand-ups,To Do,27/Jul/25 3:38 PM
Define sprint goals and deliverables,SCRUM-45,10047,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:37 PM,27/Jul/25 3:37 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00093:,SCRUM Sprint 2,,,,,10039,SCRUM-37,Plan sprints & stand-ups,To Do,27/Jul/25 3:37 PM
Document backlog and release plan,SCRUM-44,10046,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:36 PM,09/Aug/25 3:47 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0008v:,SCRUM Sprint 1,,1.0,,,10038,SCRUM-36,Create product backlog & release plan,To Do,27/Jul/25 3:36 PM
Develop release plan across 4 sprints,SCRUM-43,10045,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:36 PM,09/Aug/25 3:47 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0008n:,SCRUM Sprint 1,,2.0,,,10038,SCRUM-36,Create product backlog & release plan,To Do,27/Jul/25 3:36 PM
Estimate and prioritise backlog items,SCRUM-42,10044,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:35 PM,09/Aug/25 3:47 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0008f:,SCRUM Sprint 1,,2.0,,,10038,SCRUM-36,Create product backlog & release plan,To Do,27/Jul/25 3:35 PM
Identify features and break into user stories,SCRUM-41,10043,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:35 PM,09/Aug/25 3:47 PM,27/Jul/25 3:35 PM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00087:,SCRUM Sprint 1,,2.0,,,10038,SCRUM-36,Create product backlog & release plan,To Do,27/Jul/25 3:35 PM
